Taxon	Adenoma1.2065.S1.L001	Adenoma10.2757.S10.L001	Adenoma11.2775.S11.L001	Adenoma12.2799.S12.L001	Adenoma13.2803.S13.L001	Adenoma14.2817.S14.L001	Adenoma15.2847.S15.L001	Adenoma16.2873.S16.L001	Adenoma17.2937.S17.L001	Adenoma18.2967.S18.L001	Adenoma19.2971.S19.L001	Adenoma2.2113.S2.L001	Adenoma20.2995.S20.L001	Adenoma21.3129.S21.L001	Adenoma22.3133.S22.L001	Adenoma23.3141.S23.L001	Adenoma24.3217.S24.L001	Adenoma25.3273.S25.L001	Adenoma26.3373.S26.L001	Adenoma27.3379.S27.L001	Adenoma28.3391.S28.L001	Adenoma29.3399.S29.L001	Adenoma3.2123.S3.L001	Adenoma30.3509.S30.L001	Adenoma4.2143.S4.L001	Adenoma5.2243.S5.L001	Adenoma6.2453.S6.L001	Adenoma7.2475.S7.L001	Adenoma8.2555.S8.L001	Adenoma9.2717.S9.L001	Cancer1.2355.S61.L001	Cancer10.2567.S70.L001	Cancer11.2573.S71.L001	Cancer12.2575.S72.L001	Cancer13.2579.S73.L001	Cancer14.2611.S74.L001	Cancer15.2613.S75.L001	Cancer16.2619.S76.L001	Cancer17.2625.S77.L001	Cancer18.2629.S78.L001	Cancer19.2633.S79.L001	Cancer2.2455.S62.L001	Cancer20.2667.S80.L001	Cancer21.2671.S81.L001	Cancer22.2703.S82.L001	Cancer23.2705.S83.L001	Cancer24.2727.S84.L001	Cancer25.2735.S85.L001	Cancer26.2763.S86.L001	Cancer27.2771.S87.L001	Cancer28.2777.S88.L001	Cancer29.2801.S89.L001	Cancer3.2513.S63.L001	Cancer30.2863.S90.L001	Cancer4.2521.S64.L001	Cancer5.2523.S65.L001	Cancer6.2535.S66.L001	Cancer7.2537.S67.L001	Cancer8.2543.S68.L001	Cancer9.2547.S69.L001	Healthy1.2027.S31.L001	Healthy10.3087.S40.L001	Healthy11.3123.S41.L001	Healthy12.3211.S42.L001	Healthy13.3241.S43.L001	Healthy14.3245.S44.L001	Healthy15.3247.S45.L001	Healthy16.3251.S46.L001	Healthy17.3257.S47.L001	Healthy18.3293.S48.L001	Healthy19.3339.S49.L001	Healthy2.2779.S32.L001	Healthy20.3341.S50.L001	Healthy21.3347.S51.L001	Healthy22.3363.S52.L001	Healthy23.3367.S53.L001	Healthy24.3403.S54.L001	Healthy25.3405.S55.L001	Healthy26.3407.S56.L001	Healthy27.3439.S57.L001	Healthy28.3499.S58.L001	Healthy29.3529.S59.L001	Healthy3.3021.S33.L001	Healthy30.3291.66.S60.L001	Healthy4.3023.S34.L001	Healthy5.3043.S35.L001	Healthy6.3061.S36.L001	Healthy7.3063.S37.L001	Healthy8.3073.S38.L001	Healthy9.3075.S39.L001
k__Archaea;p__Crenarchaeota;c__Thermoprotei	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Methanobacteria	3444.0	2.0	1.0	0.0	5493.0	7.0	5.0	3.0	1.0	0.0	0.0	4.0	0.0	2.0	335.0	1688.0	1.0	2498.0	3858.0	2.0	1900.0	0.0	1.0	0.0	6.0	789.0	1.0	866.0	4.0	1747.0	1.0	1.0	1.0	1.0	0.0	272.0	3783.0	0.0	0.0	2032.0	9.0	3373.0	2.0	916.0	1.0	14.0	321.0	0.0	0.0	0.0	7.0	0.0	1.0	738.0	1178.0	1.0	2354.0	1.0	0.0	887.0	1.0	2.0	0.0	1.0	0.0	0.0	568.0	1.0	861.0	1856.0	0.0	2.0	1.0	2.0	11.0	1236.0	338.0	6.0	1.0	0.0	0.0	919.0	3.0	1.0	3.0	1.0	0.0	9.0	3.0	1.0
k__Archaea;p__Euryarchaeota;c__Thermoplasmata	4.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria	127.0	1114.0	84.0	212.0	1597.0	678.0	135.0	178.0	3247.0	1610.0	1546.0	982.0	385.0	317.0	1304.0	1357.0	2826.0	998.0	604.0	965.0	3174.0	1936.0	1155.0	1020.0	1305.0	205.0	114.0	2441.0	21.0	108.0	389.0	1081.0	360.0	1187.0	341.0	251.0	116.0	238.0	525.0	285.0	377.0	341.0	98.0	34.0	539.0	302.0	1003.0	1746.0	950.0	1054.0	184.0	1459.0	994.0	324.0	2025.0	1193.0	268.0	850.0	4111.0	402.0	54.0	3592.0	4808.0	1208.0	8.0	122.0	371.0	4436.0	2029.0	301.0	250.0	26.0	415.0	295.0	520.0	448.0	652.0	1195.0	613.0	197.0	879.0	722.0	946.0	339.0	388.0	2543.0	61.0	251.0	472.0	1545.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia	3541.0	2940.0	4599.0	2204.0	1702.0	6226.0	1394.0	1364.0	530.0	1186.0	5940.0	1924.0	10110.0	17014.0	6139.0	4663.0	7324.0	2432.0	7619.0	4467.0	2277.0	714.0	6403.0	9779.0	971.0	13155.0	552.0	800.0	4940.0	9329.0	9437.0	7742.0	11029.0	4223.0	4537.0	11466.0	7005.0	1259.0	9840.0	1236.0	1403.0	6064.0	9783.0	15672.0	6118.0	5175.0	3869.0	2680.0	1941.0	4475.0	4297.0	1333.0	3017.0	10962.0	1916.0	12630.0	9239.0	987.0	1823.0	12796.0	6663.0	8962.0	5644.0	668.0	15878.0	10688.0	2450.0	12625.0	10670.0	11577.0	9008.0	1184.0	7403.0	4983.0	4832.0	3950.0	3791.0	2783.0	11682.0	4292.0	3576.0	1977.0	2129.0	11644.0	2908.0	1662.0	13961.0	1993.0	10006.0	10020.0
k__Bacteria;p__Bacteroidetes;c__Flavobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Sphingobacteria	0.0	0.0	0.0	1.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	6.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	279.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	3.0	24.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	4.0	0.0	0.0	2.0	0.0
k__Bacteria;p__Bacteroidetes;c__unassigned	0.0	89.0	37.0	222.0	7.0	6.0	23.0	12.0	29.0	89.0	6.0	26.0	6.0	116.0	14.0	8.0	12.0	2.0	9.0	28.0	3.0	16.0	43.0	61.0	37.0	0.0	33.0	14.0	21.0	15.0	7.0	18.0	42.0	32.0	10.0	4.0	8.0	11.0	18.0	8.0	41.0	12.0	0.0	6.0	0.0	28.0	44.0	62.0	50.0	27.0	0.0	44.0	86.0	5.0	32.0	3.0	1.0	18.0	48.0	214.0	3.0	2.0	9.0	28.0	1.0	22.0	7.0	6.0	8.0	2.0	9.0	7.0	13.0	102.0	3.0	7.0	47.0	8.0	1.0	4.0	35.0	5.0	33.0	9.0	85.0	11.0	2.0	39.0	4.0	15.0
k__Bacteria;p__DeinococcusThermus;c__Deinococci	13.0	0.0	4.0	9.0	44.0	0.0	1.0	0.0	0.0	260.0	0.0	0.0	0.0	1.0	0.0	8.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	93.0	0.0	0.0	50.0	0.0	1.0	0.0	40.0	1.0	18.0	2.0	100.0	0.0	0.0	0.0	0.0	14.0	1.0	35.0	0.0	0.0	5.0	3.0	0.0	360.0	2.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	95.0	0.0	0.0	1.0	0.0	2.0	0.0	156.0	0.0	0.0	1.0	4.0	0.0	352.0	749.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	332.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli	197.0	172.0	719.0	5566.0	432.0	330.0	110.0	2563.0	333.0	786.0	254.0	217.0	94.0	1251.0	89.0	176.0	135.0	78.0	138.0	309.0	32.0	1137.0	48.0	465.0	135.0	25.0	629.0	150.0	100.0	446.0	388.0	117.0	179.0	1182.0	423.0	3.0	24.0	847.0	31.0	208.0	2281.0	746.0	25.0	45.0	70.0	280.0	933.0	3600.0	582.0	146.0	12.0	765.0	92.0	274.0	249.0	16.0	121.0	706.0	359.0	256.0	114.0	21.0	2010.0	1141.0	125.0	62.0	470.0	74.0	698.0	22.0	651.0	745.0	367.0	84.0	3560.0	118.0	1688.0	2361.0	118.0	260.0	68.0	170.0	152.0	203.0	122.0	880.0	56.0	1567.0	33.0	107.0
