#SampleID	Status_c	Description
Adenoma10.2757.S10.L001	adenoma	none
Adenoma11.2775.S11.L001	adenoma	none
Adenoma1.2065.S1.L001	adenoma	none
Adenoma12.2799.S12.L001	adenoma	none
Adenoma13.2803.S13.L001	adenoma	none
Adenoma14.2817.S14.L001	adenoma	none
Adenoma15.2847.S15.L001	adenoma	none
Adenoma16.2873.S16.L001	adenoma	none
Adenoma17.2937.S17.L001	adenoma	none
Adenoma18.2967.S18.L001	adenoma	none
Adenoma19.2971.S19.L001	adenoma	none
Adenoma20.2995.S20.L001	adenoma	none
Adenoma21.3129.S21.L001	adenoma	none
Adenoma2.2113.S2.L001	adenoma	none
Adenoma22.3133.S22.L001	adenoma	none
Adenoma23.3141.S23.L001	adenoma	none
Adenoma24.3217.S24.L001	adenoma	none
Adenoma25.3273.S25.L001	adenoma	none
Adenoma26.3373.S26.L001	adenoma	none
Adenoma27.3379.S27.L001	adenoma	none
Adenoma28.3391.S28.L001	adenoma	none
Adenoma29.3399.S29.L001	adenoma	none
Adenoma30.3509.S30.L001	adenoma	none
Adenoma3.2123.S3.L001	adenoma	none
Adenoma4.2143.S4.L001	adenoma	none
Adenoma5.2243.S5.L001	adenoma	none
Adenoma6.2453.S6.L001	adenoma	none
Adenoma7.2475.S7.L001	adenoma	none
Adenoma8.2555.S8.L001	adenoma	none
Adenoma9.2717.S9.L001	adenoma	none
Cancer10.2567.S70.L001	cancer	none
Cancer11.2573.S71.L001	cancer	none
Cancer12.2575.S72.L001	cancer	none
Cancer1.2355.S61.L001	cancer	none
Cancer13.2579.S73.L001	cancer	none
Cancer14.2611.S74.L001	cancer	none
Cancer15.2613.S75.L001	cancer	none
Cancer16.2619.S76.L001	cancer	none
Cancer17.2625.S77.L001	cancer	none
Cancer18.2629.S78.L001	cancer	none
Cancer19.2633.S79.L001	cancer	none
Cancer20.2667.S80.L001	cancer	none
Cancer21.2671.S81.L001	cancer	none
Cancer22.2703.S82.L001	cancer	none
Cancer2.2455.S62.L001	cancer	none
Cancer23.2705.S83.L001	cancer	none
Cancer24.2727.S84.L001	cancer	none
Cancer25.2735.S85.L001	cancer	none
Cancer26.2763.S86.L001	cancer	none
Cancer27.2771.S87.L001	cancer	none
Cancer28.2777.S88.L001	cancer	none
Cancer29.2801.S89.L001	cancer	none
Cancer30.2863.S90.L001	cancer	none
Cancer3.2513.S63.L001	cancer	none
Cancer4.2521.S64.L001	cancer	none
Cancer5.2523.S65.L001	cancer	none
Cancer6.2535.S66.L001	cancer	none
Cancer7.2537.S67.L001	cancer	none
Cancer8.2543.S68.L001	cancer	none
Cancer9.2547.S69.L001	cancer	none
Healthy10.3087.S40.L001	healthy	none
Healthy11.3123.S41.L001	healthy	none
Healthy1.2027.S31.L001	healthy	none
Healthy12.3211.S42.L001	healthy	none
Healthy13.3241.S43.L001	healthy	none
Healthy14.3245.S44.L001	healthy	none
Healthy15.3247.S45.L001	healthy	none
Healthy16.3251.S46.L001	healthy	none
Healthy17.3257.S47.L001	healthy	none
Healthy18.3293.S48.L001	healthy	none
Healthy19.3339.S49.L001	healthy	none
Healthy20.3341.S50.L001	healthy	none
Healthy21.3347.S51.L001	healthy	none
Healthy22.3363.S52.L001	healthy	none
Healthy2.2779.S32.L001	healthy	none
Healthy23.3367.S53.L001	healthy	none
Healthy24.3403.S54.L001	healthy	none
Healthy25.3405.S55.L001	healthy	none
Healthy26.3407.S56.L001	healthy	none
Healthy27.3439.S57.L001	healthy	none
Healthy28.3499.S58.L001	healthy	none
Healthy29.3529.S59.L001	healthy	none
Healthy30.3291.66.S60.L001	healthy	none
Healthy3.3021.S33.L001	healthy	none
Healthy4.3023.S34.L001	healthy	none
Healthy5.3043.S35.L001	healthy	none
Healthy6.3061.S36.L001	healthy	none
Healthy7.3063.S37.L001	healthy	none
Healthy8.3073.S38.L001	healthy	none
Healthy9.3075.S39.L001	healthy	none
