kegglevel1,CCIS63888116ST,CCIS55535410ST,CCIS10150843ST,CCIS52674325ST,CCIS54258614ST,CCIS63525104ST,CCIS41316911ST,CCIS11359688ST,CCIS72691826ST,CCIS52699533ST,CCIS24327434ST,CCIS59196468ST,CCIS65548065ST,CCIS61937954ST,CCIS89977836ST,CCIS29914246ST,CCIS56824393ST,CCIS42036201ST,CCIS67522136ST,CCIS14154266ST,CCIS47958380ST,CCIS56195468ST,CCIS25590600ST,CCIS18114235ST,CCIS21291604ST,CCIS13191749ST,CCIS26191841ST,CCIS83911865ST,CCIS44102178ST,CCIS77266691ST,CCIS10806446ST,CCIS40782044ST,CCIS54603094ST,CCIS45011002ST,CCIS15852552ST,CCIS34538919ST,CCIS53296721ST,CCIS59523616ST,CCIS57845035ST,CCIS32078890ST,CCIS70195245ST,CCIS58446431ST,CCIS79404923ST,CCIS22459501ST,CCIS10004562ST,CCIS78087373ST,CCIS52838149ST,CCIS67313812ST,CCIS97774924ST,CCIS87773825ST,CCIS52003751ST,CCIS27858710ST,CCIS35372648ST,CCIS53760738ST,CCIS59464264ST,CCIS51881535ST,CCIS56467912ST,CCIS42774874ST,CCIS30352914ST,CCIS55777975ST,CCIS01762250ST,CCIS30055400ST,CCIS53004345ST,CCIS09827091ST,CCIS99532646ST,CCIS87352542ST,CCIS65877992ST,CCIS27274077ST,CCIS33169059ST,CCIS18653144ST,CCIS78802270ST,CCIS84766901ST,CCIS15475502ST,CCIS17767448ST,CCIS04466545ST,CCIS87440534ST,CCIS15710114ST,CCIS40624870ST,CCIS46766181ST,CCIS61308667ST,CCIS70999105ST,CCIS40285575ST,CCIS60023350ST,CCIS98570909ST,CCIS63025729ST,CCIS41421889ST,CCIS94380643ST,CCIS47728801ST,CCIS80070750ST,CCIS40610294ST,CCIS98688913ST,CCIS15838383ST,CCIS66543309ST,CCIS23984085ST,CCIS06170633ST,CCIS27251656ST,CCIS13496743ST,CCIS69329867ST,CCIS10006025ST,CCIS78886337ST,CCIS26072306ST,CCIS88458339ST,CCIS84112064ST,CCIS33565290ST,CCIS47616579ST,CCIS66183687ST,CCIS27658230ST,CCIS57767931ST,CCIS63311334ST,CCIS75402782ST,CCIS88051336ST,CCIS34607522ST,CCIS88769190ST,CCIS51416953ST,CCIS36417975ST,CCIS36440788ST,CCIS28782212ST,CCIS30483785ST,CCIS41129004ST,CCIS84449576ST,CCIS23291274ST,CCIS76410916ST,CCIS78732358ST,CCIS20190700ST,CCIS56213478ST,CCIS57279330ST,CCIS51602582ST,CCIS63014872ST,CCIS69577046ST
Cellular_Processes,0.022030379,0.028311342,0.030660419,0.03697577,0.033132699,0.034724543,0.029718536,0.021847372,0.037241654,0.025444847,0.034857979,0.029215458,0.032665821,0.023300174,0.020933133,0.032060317,0.020477114,0.028649961,0.027932887,0.017737116,0.021104247,0.037375073,0.028357299,0.035707359,0.028288369,0.036210614,0.032384223,0.036809097,0.027195003,0.031158215,0.026644487,0.026884847,0.037823954,0.037469258,0.030699384,0.022888219,0.027560165,0.029221144,0.036546324,0.031661827,0.029073998,0.027149947,0.035553546,0.027436699,0.031479919,0.022073491,0.028948663,0.025301359,0.026669908,0.02756571,0.027300662,0.025787903,0.026576071,0.023308295,0.03054116,0.025621577,0.029387774,0.020799497,0.027470895,0.03421484,0.027666553,0.033022812,0.032626867,0.03052271,0.02709255,0.034376818,0.023540925,0.026253734,0.030172254,0.026548149,0.026639009,0.034956702,0.021314947,0.025718792,0.02969102,0.024527194,0.02636399,0.028422592,0.022418074,0.036765895,0.031683873,0.028109122,0.021580075,0.023395736,0.022022805,0.027117643,0.019482149,0.022649446,0.024361447,0.029223379,0.025247533,0.022691379,0.029110307,0.027590693,0.019671717,0.022834755,0.025688358,0.048246715,0.021076171,0.021212721,0.021207639,0.033970553,0.029627055,0.024164727,0.019293394,0.023547891,0.026926391,0.019383155,0.019283223,0.024854792,0.034353168,0.034521252,0.028692298,0.025186193,0.028610394,0.033385163,0.026872002,0.026025126,0.036469535,0.026673089,0.030425124,0.022193119,0.040758557,0.025479056,0.032885733,0.028887957,0.030671579,0.042136411,0.02562351
Environmental_Information_Processing,0.07852524,0.142473804,0.142159961,0.14089185,0.13771492,0.12216758,0.130697482,0.149879681,0.137940319,0.127088562,0.147027828,0.138653177,0.139516613,0.133289215,0.123323302,0.139487173,0.146064111,0.136416588,0.14021626,0.161299647,0.149728054,0.139819851,0.14907426,0.142150757,0.125433357,0.138175332,0.15127526,0.13563336,0.139951163,0.145795146,0.143930874,0.138861766,0.121601276,0.147484483,0.145828751,0.139778334,0.137862375,0.14923289,0.141219112,0.146653987,0.123642888,0.137842785,0.1292082,0.143751657,0.150368461,0.151340498,0.133448469,0.128522525,0.14592746,0.143766442,0.147977871,0.156083303,0.140599423,0.129555585,0.129622805,0.118987151,0.187016912,0.14301413,0.148477235,0.148929255,0.133956865,0.132493335,0.163755361,0.138892914,0.147983359,0.131817927,0.146302089,0.147016549,0.148167668,0.129121791,0.147783544,0.138807991,0.13855604,0.12020782,0.14159954,0.166826252,0.117261598,0.133352266,0.117143186,0.141630711,0.119347366,0.13114739,0.155102592,0.157020873,0.151270716,0.152136412,0.158179816,0.109028767,0.155536011,0.153138424,0.133221323,0.137859824,0.148559159,0.143866601,0.144141689,0.135736382,0.152264205,0.123182968,0.134779318,0.143127185,0.135420381,0.132727894,0.143472481,0.153638757,0.146001412,0.146674355,0.142608431,0.159071253,0.158497827,0.120610611,0.16255185,0.132380886,0.140654414,0.14146635,0.121729896,0.137045067,0.141511209,0.13873172,0.132628333,0.156008317,0.152975345,0.148811879,0.124618731,0.137540015,0.139441142,0.133189023,0.133886718,0.144787637,0.128739784
Genetic_Information_Processing,0.232569953,0.20120514,0.196149588,0.197573092,0.193766216,0.20766256,0.199976047,0.199029169,0.185616076,0.204726715,0.192434428,0.202589428,0.196736276,0.204886053,0.213580893,0.19082772,0.203245118,0.204189621,0.202725137,0.19619746,0.204476576,0.191857607,0.197408401,0.195768314,0.191861758,0.190692928,0.197900402,0.189193813,0.203265623,0.19296509,0.200183791,0.199834103,0.190751467,0.178857026,0.172914817,0.201033118,0.19892329,0.198370523,0.1949447,0.181733306,0.202906676,0.207170423,0.196710204,0.196582482,0.19303974,0.203312229,0.194563068,0.214446642,0.197677613,0.198949552,0.197342706,0.192922589,0.197568363,0.189173352,0.199452062,0.217279671,0.177229328,0.197735916,0.20120384,0.19814506,0.205333755,0.2033532,0.185882781,0.190710396,0.20131956,0.19805634,0.202139211,0.200397648,0.197823717,0.208554903,0.199184776,0.191929679,0.198322399,0.192898079,0.196420237,0.186131739,0.213722964,0.196439304,0.209835198,0.19661745,0.202932244,0.205839025,0.202772255,0.198889554,0.193680938,0.196431506,0.197089949,0.22361488,0.197405207,0.199731249,0.19693721,0.211162923,0.19364081,0.202944614,0.206403952,0.203710976,0.201881548,0.172584532,0.206084875,0.206145409,0.184438748,0.202437541,0.197321067,0.201736429,0.208202628,0.203444918,0.202659833,0.198593936,0.202854813,0.184487961,0.18423993,0.190596401,0.191411201,0.198298243,0.209649339,0.194836512,0.198839547,0.202982317,0.195712649,0.190819625,0.19584896,0.186455153,0.180783827,0.195069407,0.186214548,0.188968812,0.20513559,0.177817344,0.207055351
Human_Diseases,0.00882941,0.007269547,0.007582644,0.007768228,0.007527635,0.008496037,0.008580105,0.006903679,0.009676264,0.007632843,0.007431048,0.007636654,0.009025546,0.00825533,0.00732681,0.010438579,0.00691796,0.007567839,0.008241071,0.006023077,0.00631793,0.009825481,0.007897678,0.008217556,0.008679357,0.009841624,0.006574315,0.010389867,0.007254444,0.008849008,0.006735374,0.00779557,0.010505221,0.009416958,0.008837613,0.006619982,0.00784893,0.006341151,0.008296213,0.01028661,0.007928784,0.006835573,0.008566201,0.007502283,0.006742628,0.006290624,0.007950289,0.006938308,0.007766645,0.007718456,0.008826045,0.007299495,0.008477953,0.007609768,0.008613801,0.007488659,0.0073646,0.006995352,0.006661166,0.00762334,0.007317497,0.007322354,0.008556006,0.00725691,0.006525809,0.007219502,0.006597422,0.006727935,0.00699337,0.007114847,0.007243332,0.009694973,0.007287933,0.007981662,0.007125553,0.007655793,0.008129005,0.008197943,0.007598552,0.008508022,0.008533146,0.007319046,0.006167946,0.006450847,0.006613044,0.007327256,0.006373976,0.00742577,0.006616607,0.006744312,0.00725882,0.007147141,0.008381735,0.006918192,0.006455327,0.007333401,0.006577902,0.015412459,0.006462729,0.006453427,0.006810988,0.008411277,0.006978365,0.006225402,0.006317905,0.006770991,0.006997023,0.006772551,0.007132765,0.008272928,0.00814058,0.008985406,0.008397083,0.007248549,0.008060538,0.008661436,0.006745385,0.007094035,0.010014036,0.007693791,0.008882626,0.008088015,0.012016454,0.007586343,0.010336913,0.008539865,0.008240545,0.011656387,0.008902973
Metabolism,0.504307654,0.473842501,0.476342123,0.468130277,0.479717035,0.479331811,0.483225683,0.477969589,0.480402486,0.487410665,0.472040969,0.473946489,0.47660856,0.48472784,0.486308316,0.481344218,0.478179308,0.472532874,0.47498667,0.475439067,0.47275631,0.475572173,0.472666864,0.471354167,0.495111079,0.479010625,0.467268715,0.480737242,0.476075491,0.475512399,0.476806032,0.48008501,0.484961428,0.466240102,0.490411364,0.484986262,0.480496651,0.4718403,0.470664673,0.483269119,0.486619418,0.474280082,0.47607418,0.47904761,0.472954765,0.472875232,0.487197948,0.478767289,0.476783103,0.475069497,0.475071646,0.47271075,0.479936266,0.498896229,0.482431369,0.483019688,0.459851099,0.481076783,0.470998463,0.460624066,0.475483977,0.472967863,0.452112505,0.483628582,0.471417541,0.478110009,0.473900967,0.472382387,0.469984836,0.480010318,0.471153842,0.478573702,0.486298245,0.499059494,0.477975104,0.459241381,0.485691799,0.480346302,0.490677343,0.467654797,0.486843383,0.478841403,0.471413363,0.470821972,0.480624165,0.47227489,0.473909839,0.487626065,0.471016484,0.466630761,0.482848989,0.474705277,0.475351905,0.47248984,0.479152183,0.48423111,0.469308516,0.493016173,0.483916611,0.476860797,0.499229557,0.475229771,0.475234468,0.468885882,0.475409289,0.474299541,0.473854522,0.471799199,0.469862538,0.502467639,0.45302448,0.47465932,0.482131239,0.476229643,0.48342823,0.476010292,0.479290631,0.479197333,0.478209273,0.471069312,0.47045395,0.480676388,0.487430493,0.485889737,0.483866103,0.490498302,0.475598462,0.47564611,0.484469006
Organismal_Systems,0.009405372,0.007458597,0.007171572,0.007219797,0.007780165,0.007852355,0.008181674,0.006635331,0.007186456,0.008066674,0.007241256,0.007325272,0.006822816,0.008046062,0.009159992,0.006841876,0.007021092,0.007433586,0.006634954,0.005536867,0.00681817,0.00683994,0.006875406,0.007085799,0.007676818,0.006996187,0.007096684,0.007212958,0.007854863,0.006772656,0.007500499,0.007544625,0.006961204,0.006259633,0.007345323,0.006801574,0.007265248,0.007057952,0.007454555,0.006161584,0.007988794,0.007485091,0.007292987,0.007162604,0.007233469,0.006991836,0.007452606,0.007791298,0.007025086,0.007110694,0.00604611,0.00642437,0.007242261,0.007731573,0.008100446,0.007935775,0.00592007,0.006883892,0.007388759,0.006980645,0.007297418,0.007614055,0.005882075,0.007535509,0.007028306,0.00782584,0.007145681,0.006898539,0.007101095,0.007628156,0.006570057,0.007430442,0.006245209,0.0076879,0.007373869,0.005823292,0.0085077,0.006154874,0.008574091,0.006816794,0.008182663,0.007691336,0.006279333,0.006207347,0.006723601,0.006446962,0.005846945,0.008211857,0.006384997,0.007197275,0.006974881,0.006286745,0.006508005,0.006735541,0.006912864,0.007296758,0.006925209,0.006946508,0.008262407,0.007520943,0.007513464,0.007369898,0.006897597,0.006461957,0.006825519,0.007235569,0.007202651,0.005893374,0.006013928,0.008284151,0.005764563,0.007287369,0.007073115,0.00715075,0.007585274,0.006822373,0.007523962,0.007426225,0.007413995,0.006270622,0.005938041,0.006463236,0.007406954,0.007165521,0.006885301,0.007267159,0.007224947,0.006730116,0.00769279
Unclassified,0.144331992,0.139439068,0.139933693,0.141440986,0.140361328,0.139765115,0.139620473,0.13773518,0.141936744,0.139629694,0.138966492,0.140633522,0.138624368,0.137495326,0.139367554,0.139000117,0.138095297,0.143209531,0.139263021,0.137766767,0.138798714,0.138709875,0.137720092,0.139716047,0.142949263,0.13907269,0.137500402,0.140023664,0.138403412,0.138947486,0.138198943,0.138994078,0.147395451,0.15427254,0.143962749,0.137892511,0.140043341,0.13793604,0.140874424,0.140233566,0.141839442,0.139236099,0.146594681,0.138516665,0.138181018,0.13711609,0.140438958,0.138232579,0.138150184,0.139819649,0.13743496,0.138771591,0.139599662,0.143725198,0.141238357,0.139667479,0.133230218,0.14349443,0.137799641,0.143482795,0.142943935,0.143226383,0.151184404,0.141452979,0.138632875,0.142593563,0.140373706,0.140323208,0.139757062,0.141021836,0.141425439,0.138606512,0.141975228,0.146446254,0.139814677,0.149794349,0.140322944,0.147086719,0.143753556,0.142006331,0.142477326,0.141052678,0.136684437,0.137213671,0.139064733,0.138265331,0.139117326,0.141443214,0.138679247,0.1373346,0.147511243,0.14014671,0.13844808,0.13945452,0.137262269,0.138856618,0.137354262,0.140610645,0.139417891,0.138679517,0.145379224,0.139853065,0.140468967,0.138886847,0.137949853,0.138026736,0.139751148,0.138486532,0.136354905,0.151021917,0.151925429,0.151569364,0.141640651,0.144420272,0.140936329,0.143239157,0.139217263,0.138543243,0.139552179,0.141465245,0.135475954,0.14731221,0.146984982,0.141269921,0.14037026,0.142648882,0.139242159,0.141225995,0.137516585
Cellular_Processes;Cell_Growth_and_Death,0.006867937,0.005447428,0.005460612,0.005644731,0.005495216,0.006443573,0.005946238,0.005230174,0.006307345,0.005905983,0.005513373,0.005518782,0.006547972,0.005760871,0.005329773,0.006650366,0.005428378,0.005370337,0.005705464,0.005156895,0.005177056,0.006607641,0.00602115,0.005953337,0.005941645,0.006635009,0.005285665,0.006689245,0.00539809,0.006247161,0.005320141,0.005783057,0.006054627,0.004489955,0.005346234,0.005483434,0.006011099,0.005286111,0.005975376,0.006740753,0.005924172,0.005155164,0.005433275,0.006217367,0.005257356,0.005318376,0.005765586,0.005594096,0.005714423,0.005735146,0.006675972,0.005716127,0.005917331,0.005447373,0.005983379,0.0059921,0.005152554,0.005097445,0.005122955,0.005017523,0.0054084,0.00555923,0.004767858,0.005188023,0.005316728,0.005238345,0.005286924,0.005125685,0.005279712,0.005320989,0.005311367,0.006392969,0.005561276,0.005474036,0.005290744,0.004578263,0.006100282,0.005090681,0.005606934,0.005711533,0.005963798,0.005666829,0.005338254,0.005425009,0.005286837,0.005803497,0.005245139,0.00610568,0.005266503,0.005281345,0.004745121,0.005300524,0.006302848,0.00510568,0.005177829,0.005616848,0.005219598,0.008868316,0.005158301,0.005204261,0.004882529,0.006255055,0.005264062,0.005278463,0.005649502,0.005404851,0.00532671,0.005256465,0.005482018,0.005088659,0.004357146,0.005046498,0.005864692,0.0050972,0.006231789,0.005744237,0.005323503,0.005508473,0.006843509,0.005665876,0.006245991,0.005025414,0.007005175,0.005651174,0.006667685,0.005982767,0.006122177,0.00714411,0.006360633
Cellular_Processes;Cell_Motility,0.011022844,0.020621579,0.02259064,0.028970554,0.024281743,0.025422856,0.021196555,0.014417173,0.02781444,0.016420923,0.026699279,0.021432548,0.023842717,0.015467625,0.013544996,0.023133524,0.013283579,0.020619776,0.020002887,0.010799044,0.014135143,0.02826691,0.020307202,0.027192441,0.018717556,0.026872125,0.024995363,0.027428998,0.019603577,0.022798728,0.018965545,0.018640453,0.028929799,0.02962931,0.02097708,0.014339436,0.018957282,0.021687618,0.027858025,0.022530514,0.019712214,0.019805798,0.027574783,0.01871928,0.023468755,0.014842113,0.019727845,0.017399907,0.018945077,0.01968605,0.01860533,0.01770276,0.018407042,0.013924121,0.021740641,0.016763202,0.021637545,0.013024164,0.020241799,0.027079144,0.019678912,0.024680914,0.025968751,0.022068996,0.019661058,0.025962943,0.015870997,0.018997639,0.022535138,0.018788176,0.019113152,0.026010976,0.013098278,0.016167669,0.021772692,0.018078397,0.017684819,0.020952806,0.013611116,0.028748057,0.022174418,0.019806333,0.014478904,0.016260758,0.014165702,0.019042481,0.012505647,0.013497856,0.01725946,0.02187756,0.01754537,0.015857971,0.020675104,0.020638106,0.01281222,0.014535969,0.018559998,0.036351501,0.013445897,0.014054362,0.011617083,0.025042447,0.021600364,0.016999786,0.011915716,0.016344198,0.019253396,0.012326367,0.011909047,0.014760711,0.028129015,0.026141378,0.019865845,0.017702877,0.019630684,0.025165556,0.01884213,0.017854417,0.026672595,0.018872578,0.022007345,0.014131778,0.03028668,0.016976141,0.023312923,0.019384389,0.022031731,0.032083237,0.016637743
Cellular_Processes;Transport_and_Catabolism,0.004139598,0.002242335,0.002609168,0.002360485,0.003355741,0.002858114,0.002575742,0.002200024,0.003119869,0.003117941,0.002645328,0.002264128,0.002275131,0.002071677,0.002058364,0.002276427,0.001765158,0.002659849,0.002224535,0.001781177,0.001792049,0.002500521,0.002028948,0.002561581,0.003629168,0.002703479,0.002103194,0.002690854,0.002193336,0.002112326,0.002358801,0.002461337,0.002839528,0.003349994,0.00437607,0.003065349,0.002591784,0.002247415,0.002712923,0.00239056,0.003437612,0.002188985,0.002545488,0.002500051,0.002753808,0.001913003,0.003455233,0.002307356,0.002010407,0.002144514,0.00201936,0.002369016,0.002251699,0.003936801,0.002817139,0.002866276,0.002597675,0.002677888,0.002106141,0.002118173,0.002579242,0.002782668,0.001890258,0.003265692,0.002114764,0.00317553,0.002383003,0.00213041,0.002357403,0.002438984,0.00221449,0.002552757,0.002655393,0.004077087,0.002627584,0.001870534,0.002578889,0.002379105,0.003200023,0.002306305,0.003545657,0.002635959,0.001762916,0.001709969,0.002570266,0.002271665,0.001731363,0.00304591,0.001835484,0.002064474,0.002957042,0.001532884,0.002132355,0.001846907,0.001681668,0.002681937,0.001908762,0.003026898,0.002471973,0.001954098,0.004708027,0.00267305,0.002762629,0.001886478,0.001728176,0.001798842,0.002346286,0.001800323,0.001892158,0.005005422,0.001867007,0.003333376,0.00296176,0.002386115,0.002747921,0.00247537,0.00270637,0.002662236,0.002953431,0.002134634,0.002171787,0.003035927,0.003466702,0.002851741,0.002905126,0.003520801,0.002517671,0.002909063,0.002625134
