kegglevel1,Col1A,Col1C,Col4A,Col4C,Col8A,Col8C,Col9A,Col9C,Col11A,Col11C,Col13A,Col13C,Col15A,Col15C,Col16A16S,Col16C16S,Col17A,Col17C,Col18A,Col18C,Col20A,Col20C,Col21A,Col21C,Col23A,Col23C,Col27A,Col27C,Col29A,Col29C,Col31A,Col31C,Col33A,Col33C,Col34A,Col34C,Col35A,Col35C,Col36A,Col36C,Col37A,Col37C,Col38A,Col38C,Col39A,Col39C,Col40A,Col40C,Col41A,Col41C,Col42A,Col42C,Col43A,Col43C,Col44A,Col44C,Col45A,Col45C,Col46A,Col46C,Col47A,Col47C,Col49A,Col49C,Col50A,Col50C,Col51A,Col51C,Col52A,Col52C,Col53A,Col53C,Col54A,Col54C,Col56A,Col56C,Col57A,Col57C,Col58A,Col58C,Col59A,Col59C,Col60A,Col60C,Col61A,Col61C,Col62A,Col62C,Col64A,Col64C,Col66A,Col66C,Col68A,Col68C,Col69A,Col69C
Cellular_Processes,0.022275246,0.022559315,0.023727702,0.022188189,0.02584202,0.021954875,0.026284963,0.022134582,0.022257367,0.019562792,0.020703043,0.023257698,0.030664046,0.033891293,0.028454571,0.034384844,0.023872399,0.020647695,0.032800151,0.036262414,0.029528237,0.039510782,0.026993347,0.028595339,0.02137015,0.020553721,0.026659564,0.025889978,0.025499217,0.023761243,0.022007942,0.022770657,0.027140709,0.023558327,0.036014927,0.033061334,0.022238084,0.020605854,0.031956194,0.032352103,0.026180454,0.025849143,0.028523502,0.025956006,0.029520823,0.026720252,0.024941492,0.02405062,0.027074421,0.02845389,0.024691517,0.026911399,0.024397047,0.028447814,0.025208549,0.025672589,0.023411541,0.022632349,0.027998393,0.031781993,0.026456421,0.066711161,0.026991899,0.025323687,0.031871776,0.02831369,0.026369142,0.020196484,0.025901193,0.03836562,0.019913105,0.020838468,0.024423634,0.024233306,0.028350357,0.026699968,0.023090672,0.022125684,0.019975947,0.019153318,0.027944197,0.030197241,0.028603127,0.026724129,0.021926027,0.036940104,0.02615352,0.02384771,0.023008169,0.022589957,0.026206602,0.026348581,0.022312997,0.024513515,0.022972611,0.023912538
Environmental_Information_Processing,0.115528276,0.113370153,0.125804819,0.130115887,0.124603254,0.126102267,0.137764841,0.131296459,0.14459677,0.117662549,0.107897198,0.146327267,0.141836606,0.134130569,0.123145384,0.119142144,0.14861266,0.137945443,0.144296841,0.150551058,0.135884707,0.140715921,0.139453674,0.151123635,0.121227773,0.129554968,0.129290684,0.144063368,0.137904645,0.141523991,0.138208273,0.139935641,0.120306721,0.156117779,0.140512116,0.144657158,0.117879886,0.118652057,0.188437142,0.18849771,0.134740202,0.132247671,0.143179851,0.135201785,0.142845791,0.15486387,0.143971181,0.156904554,0.142134325,0.142585863,0.142291824,0.139797999,0.121875997,0.136749679,0.137402626,0.139917525,0.127127715,0.128261916,0.148892548,0.143231375,0.13393225,0.10545832,0.138225074,0.134922069,0.148449244,0.144864463,0.13630972,0.138024681,0.164397645,0.160971859,0.116614516,0.123931934,0.134207606,0.128381738,0.146377214,0.14955903,0.130524592,0.133929279,0.104083587,0.090289219,0.141549515,0.139192229,0.148821868,0.151739812,0.140020213,0.148334044,0.136325406,0.133603119,0.138501758,0.136818974,0.152775296,0.138328367,0.136412011,0.130331478,0.14117683,0.145505136
Genetic_Information_Processing,0.194249144,0.194265949,0.2057017,0.203660383,0.205808235,0.213407523,0.194495068,0.216412742,0.188527616,0.219226961,0.180586823,0.185946839,0.202645785,0.208798023,0.212149251,0.206904605,0.18782801,0.20310998,0.198096564,0.193819419,0.198831384,0.201987263,0.194187633,0.193676617,0.194080523,0.195505569,0.19884157,0.192717398,0.189150134,0.20179945,0.195261815,0.194661404,0.21012826,0.188741786,0.20073502,0.199292151,0.203910153,0.205121056,0.123809666,0.13431367,0.19036842,0.189057243,0.200687039,0.200677528,0.192405288,0.198839729,0.203692771,0.198494789,0.203745486,0.199332693,0.196702353,0.197875724,0.21707641,0.204130044,0.202647384,0.199230397,0.199550342,0.206319418,0.195799213,0.191559151,0.17846318,0.158788722,0.202165858,0.206648693,0.200521926,0.204019418,0.18464428,0.196404285,0.195871342,0.182183881,0.211949574,0.212184911,0.196312698,0.204135887,0.187040288,0.193442515,0.193352178,0.190477721,0.216906606,0.22346877,0.195591701,0.194942447,0.200658326,0.200562079,0.199628867,0.194037405,0.188074191,0.192403109,0.196028045,0.199050295,0.178121226,0.202845111,0.201178665,0.190880682,0.197453095,0.197570041
Human_Diseases,0.007864785,0.008200209,0.007119382,0.007212815,0.007202194,0.007676299,0.008268446,0.008325572,0.007444926,0.008663908,0.007307454,0.006705772,0.006731778,0.009373672,0.007154815,0.007848293,0.006955287,0.007414999,0.006736572,0.006744577,0.006804089,0.007725561,0.007715049,0.006397583,0.007185649,0.007575357,0.007577637,0.007835306,0.007914119,0.00674746,0.006646649,0.006919881,0.007027096,0.006818016,0.007040102,0.007652214,0.0069204,0.007274607,0.009697444,0.009110913,0.007677775,0.008079743,0.006346896,0.006745093,0.006764807,0.007505443,0.0067205,0.006490139,0.006905485,0.007098927,0.007086591,0.007818219,0.007155709,0.006770436,0.007095777,0.006749167,0.007209545,0.007473443,0.006562086,0.007024666,0.009312438,0.019406327,0.006802628,0.007178829,0.007230628,0.006646808,0.007231648,0.007136165,0.006516069,0.011230988,0.007382819,0.00745966,0.007214067,0.007422691,0.007998137,0.00667176,0.007062042,0.007130826,0.007374822,0.007677065,0.006884099,0.007207799,0.006416326,0.006508162,0.006813561,0.006769886,0.00748708,0.007195616,0.007368437,0.007894716,0.009618275,0.01116854,0.006641167,0.00853146,0.006684245,0.00715117
Metabolism,0.504837832,0.504925157,0.488529566,0.484892839,0.485983773,0.47703832,0.48384469,0.469631013,0.487208038,0.481740247,0.526100733,0.489250976,0.474229819,0.463747576,0.477891374,0.47858921,0.483096232,0.474628723,0.470360586,0.466283913,0.478310889,0.458547288,0.477151633,0.47425202,0.49998163,0.492791704,0.486398088,0.478671359,0.482759799,0.478601948,0.489742103,0.485722661,0.487092769,0.47893115,0.473010768,0.465521025,0.498177073,0.497230353,0.50234021,0.491625535,0.486494742,0.493436916,0.474881717,0.481847948,0.480003911,0.463308675,0.476622241,0.469441492,0.473787212,0.474369157,0.483043184,0.477632263,0.481270735,0.47751359,0.481998499,0.481883544,0.492108461,0.484801102,0.474310587,0.477968265,0.48189425,0.495041847,0.478027135,0.477325322,0.462303004,0.470264894,0.490603492,0.485639911,0.463080026,0.439028624,0.493091721,0.487062594,0.482959968,0.481794677,0.473922784,0.475976683,0.494424685,0.494173297,0.499271576,0.505418535,0.478657285,0.479403635,0.47061672,0.468880614,0.484239469,0.469812737,0.487018621,0.489724952,0.481952885,0.479738286,0.468028358,0.479174233,0.484714075,0.487511237,0.482321592,0.478901025
Organismal_Systems,0.008534264,0.008694177,0.008110131,0.007675971,0.008002755,0.007378918,0.007528516,0.006911111,0.007734746,0.007088218,0.009395935,0.007012469,0.007460977,0.007522285,0.007507859,0.008931958,0.007212405,0.007055408,0.007491101,0.007023117,0.007874404,0.008311291,0.007237669,0.007182573,0.0084262,0.007597509,0.008141723,0.007300461,0.007823564,0.007748778,0.007501484,0.007507133,0.008104479,0.006491325,0.007531603,0.007148526,0.008559104,0.008120569,0.008841793,0.00829564,0.007574762,0.007802712,0.007399636,0.007805392,0.007405483,0.006145546,0.007805225,0.006863828,0.007329795,0.007419395,0.007627793,0.00743411,0.008039373,0.007421735,0.007941291,0.007971763,0.007830059,0.007659199,0.007218892,0.007531361,0.00702718,0.006618652,0.007506307,0.00742143,0.007221734,0.00778024,0.007753446,0.007046272,0.00609138,0.004886817,0.008109244,0.00776952,0.007775825,0.007925693,0.006968989,0.007184973,0.007951767,0.007672812,0.008746783,0.009226939,0.007605812,0.007557762,0.007454208,0.006953528,0.007054486,0.007244555,0.007558199,0.007774342,0.007328453,0.006839594,0.00663039,0.008457262,0.007965229,0.008061498,0.007278782,0.007297239
Unclassified,0.146710454,0.147985041,0.1410067,0.144253917,0.142557769,0.146441798,0.141813477,0.145288522,0.142230537,0.146055326,0.148008815,0.141498979,0.13643099,0.142536583,0.143696745,0.144198948,0.142423008,0.149197753,0.140218185,0.139315502,0.14276629,0.143201894,0.147260995,0.138772232,0.147728075,0.146421172,0.143090735,0.143522129,0.148948523,0.139817128,0.140631734,0.142482623,0.140199965,0.139341618,0.135155465,0.142667592,0.1423153,0.142995506,0.134917551,0.135804429,0.146963645,0.143526571,0.13898136,0.141766248,0.141053897,0.142616484,0.13624659,0.137754578,0.139023275,0.140740075,0.138556738,0.142530285,0.140184729,0.138966703,0.137705875,0.138575016,0.142762336,0.142852572,0.139218281,0.140903189,0.162914281,0.147974971,0.140281098,0.141179971,0.142401688,0.138110487,0.147088273,0.145552201,0.138142345,0.163332211,0.142939022,0.140752914,0.147106202,0.146106007,0.149342232,0.14046507,0.143594064,0.14449038,0.14364068,0.144766155,0.14176739,0.141498887,0.137429425,0.138631676,0.140317377,0.136861269,0.147382983,0.145451152,0.145812254,0.147068179,0.158619854,0.133677907,0.140775857,0.150170129,0.142112845,0.139662851
Cellular_Processes;Cell_Growth_and_Death,0.005146695,0.005222223,0.005305114,0.005207471,0.005493904,0.005709897,0.00580043,0.006035001,0.005272929,0.006128084,0.004668729,0.004852758,0.005502524,0.0060368,0.005521778,0.006162696,0.005047754,0.005448278,0.005250191,0.005112924,0.005186061,0.006181065,0.00492631,0.005370301,0.004971983,0.005008792,0.005017771,0.004980591,0.00494062,0.005339245,0.005083502,0.005109707,0.005683513,0.004895619,0.005438567,0.005153204,0.005663966,0.005664008,0.005043557,0.004792714,0.005140852,0.005438211,0.005255787,0.005170934,0.004941271,0.005050028,0.005823681,0.005363317,0.00545944,0.005405028,0.00532036,0.005249804,0.005853416,0.00598414,0.005462055,0.005422455,0.005391372,0.005423684,0.005224572,0.005465185,0.004524073,0.009803673,0.005345281,0.00546963,0.004944286,0.005185865,0.004514135,0.005154727,0.00557708,0.00413134,0.005884821,0.00606826,0.005144609,0.005418121,0.004772723,0.005168269,0.005121517,0.005037181,0.005952118,0.006156728,0.005211093,0.005272768,0.005487733,0.00547322,0.005585347,0.005843513,0.004978146,0.005145439,0.005205742,0.005369327,0.004657176,0.006146554,0.005165378,0.004801283,0.005248083,0.005260639
Cellular_Processes;Cell_Motility,0.011677011,0.011498766,0.01460038,0.013548797,0.016927496,0.013447541,0.01719906,0.013875793,0.013692339,0.010416667,0.010362794,0.014862595,0.022629735,0.025435588,0.020091471,0.024515444,0.015120862,0.012026389,0.024988954,0.028704634,0.020901145,0.031022091,0.018406967,0.020331934,0.012153815,0.011368633,0.017705463,0.01769961,0.0168112,0.015664243,0.013612074,0.014269587,0.018186339,0.015864702,0.028229976,0.025751148,0.012699952,0.011216817,0.022815076,0.023749201,0.017504983,0.016680997,0.020793176,0.017773305,0.021366417,0.019128345,0.016553346,0.016324047,0.018964535,0.020201613,0.016123464,0.018369438,0.015463061,0.01992408,0.016783254,0.017404034,0.014222022,0.013962238,0.020011076,0.023229885,0.017206944,0.052765194,0.018643665,0.016957668,0.024875263,0.021099806,0.017560986,0.011698169,0.018440113,0.032128651,0.010480994,0.011729073,0.015919276,0.015707226,0.020058349,0.018479714,0.014071425,0.013276744,0.009925967,0.008597679,0.019163244,0.02141461,0.020647873,0.018799833,0.013458404,0.029178504,0.017477147,0.014894017,0.014285085,0.01395004,0.018153273,0.015786007,0.014200836,0.014886428,0.01459771,0.015559108
Cellular_Processes;Transport_and_Catabolism,0.00545154,0.005838326,0.003822207,0.003431921,0.00342062,0.002797437,0.003285472,0.002223788,0.003292099,0.003018042,0.00567152,0.003542345,0.002531786,0.002418905,0.002841322,0.003706703,0.003703783,0.003173028,0.002561005,0.002444855,0.00344103,0.002307626,0.00366007,0.002893104,0.004244352,0.004176296,0.00393633,0.003209777,0.003747397,0.002757756,0.003312365,0.003391364,0.003270858,0.002798005,0.002346384,0.002156982,0.003874166,0.003725029,0.004097561,0.003810189,0.003534619,0.003729935,0.002474539,0.003011767,0.003213135,0.002541879,0.002564464,0.002363256,0.002650446,0.002847249,0.003247693,0.003292157,0.00308057,0.002539594,0.00296324,0.002846101,0.003798147,0.003246427,0.002762745,0.003086923,0.004725404,0.004142295,0.003002953,0.002896389,0.002052227,0.002028019,0.00429402,0.003343588,0.001883999,0.002105629,0.003547289,0.003041135,0.003359749,0.00310796,0.003519285,0.003051986,0.003897729,0.00381176,0.004097861,0.004398912,0.00356986,0.003509862,0.002467522,0.002451076,0.002882276,0.001918087,0.003698228,0.003808254,0.003517342,0.003270589,0.003396153,0.00441602,0.002946782,0.004825804,0.003126818,0.003092792
